Origin,Des,Num,Date
KATL,,298,4/1/2020
KDEN,,274,4/1/2020
KDFW,,254,4/1/2020
KIAH,,151,4/1/2020
KJFK,,86,4/1/2020
KLAS,,179,4/1/2020
KLAX,,297,4/1/2020
KORD,,331,4/1/2020
KPHX,,243,4/1/2020
KSFO,,152,4/1/2020
KATL,,269,4/2/2020
KDEN,,223,4/2/2020
KDFW,,295,4/2/2020
KIAH,,126,4/2/2020
KJFK,,73,4/2/2020
KLAS,,193,4/2/2020
KLAX,,272,4/2/2020
KORD,,290,4/2/2020
KPHX,,260,4/2/2020
KSFO,,106,4/2/2020
KATL,,247,4/3/2020
KDEN,,216,4/3/2020
KDFW,,280,4/3/2020
KIAH,,110,4/3/2020
KJFK,,76,4/3/2020
KLAS,,196,4/3/2020
KLAX,,243,4/3/2020
KORD,,342,4/3/2020
KPHX,,233,4/3/2020
KSFO,,115,4/3/2020
KATL,,223,4/4/2020
KDEN,,191,4/4/2020
KDFW,,246,4/4/2020
KIAH,,101,4/4/2020
KJFK,,76,4/4/2020
KLAS,,177,4/4/2020
KLAX,,241,4/4/2020
KORD,,292,4/4/2020
KPHX,,236,4/4/2020
KSFO,,120,4/4/2020
KATL,,214,4/5/2020
KDEN,,205,4/5/2020
KDFW,,262,4/5/2020
KIAH,,99,4/5/2020
KJFK,,72,4/5/2020
KLAS,,153,4/5/2020
KLAX,,218,4/5/2020
KORD,,273,4/5/2020
KPHX,,212,4/5/2020
KSFO,,92,4/5/2020
KATL,,259,4/6/2020
KDEN,,259,4/6/2020
KDFW,,257,4/6/2020
KIAH,,121,4/6/2020
KJFK,,91,4/6/2020
KLAS,,156,4/6/2020
KLAX,,238,4/6/2020
KORD,,305,4/6/2020
KPHX,,247,4/6/2020
KSFO,,109,4/6/2020
KATL,,243,4/7/2020
KDEN,,236,4/7/2020
KDFW,,262,4/7/2020
KIAH,,128,4/7/2020
KJFK,,67,4/7/2020
KLAS,,150,4/7/2020
KLAX,,220,4/7/2020
KORD,,269,4/7/2020
KPHX,,227,4/7/2020
KSFO,,121,4/7/2020
